derived_type	level	side	seg_a_start	seg_a_end	c_start	b_center_start	kind	prod_observed_at	p409_observed_at	completion_as_of	completed_seg_c_end	cstart_to_completion	structural_seg_c_span	completion_visibility_lag	p409_last_observed_at	p409_extra_after_completion	p409_state	p409_reason	p409_first_provable_at	p409_invalidated_at	p409_revisions	completion_branch
PanConsolidation/L1(lower=parser-Segment)	1	Long	14739	14926	15969	15191	Consolidation	16062	16062	16062	15994	93	25	68	16161	99	Invalidated	Some(ForceOvertake)	Some(16062)	Some(16161)	102	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	15191	15441	15738	14709	Consolidation	15984	15984	15984	15821	246	83	163	99999	84015	Provisional	None	None	None	84016	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	15738	15821	16057	15862	Consolidation	16205	16205	16205	16165	148	108	40	18506	2301	Invalidated	Some(ForceOvertake)	Some(16205)	Some(18506)	2304	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	16650	16714	17031	16724	Consolidation	17447	17447	17447	17170	416	139	277	99999	82552	Provisional	None	None	None	82553	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	16866	16968	17031	16283	Consolidation	17201	17201	17201	17170	170	139	31	17446	245	Invalidated	Some(IdentityVanished)	None	Some(17447)	247	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	18232	18387	19486	18390	Consolidation	19758	19758	19758	19682	272	196	76	99999	80241	Provisional	None	None	None	80242	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	18850	18911	19170	18390	Consolidation	19234	19234	19234	19210	64	40	24	99999	80765	Provisional	None	None	None	80766	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	22318	22491	23083	22524	Consolidation	23555	23555	23555	23358	472	275	197	99999	76444	Provisional	None	None	None	76445	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	22895	22930	23843	23083	Consolidation	24041	24041	24041	23954	198	111	87	99999	75958	Provisional	None	None	None	75959	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	23843	23954	24155	23954	Consolidation	24368	24368	24368	24334	213	179	34	25069	701	Invalidated	Some(ForceOvertake)	Some(24368)	Some(25069)	704	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	24773	24820	24965	24820	Consolidation	25182	25182	25182	25090	217	125	92	99999	74817	Provisional	None	None	None	74818	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	25156	25181	25582	25303	Consolidation	25953	25953	25953	25890	371	308	63	25959	6	Invalidated	Some(IdentityVanished)	None	Some(25960)	8	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	25582	25759	26313	25782	Consolidation	26413	26413	26413	26385	100	72	28	99999	73586	Provisional	None	None	None	73587	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	26313	26385	26861	26395	Consolidation	27049	27049	27049	27008	188	147	41	27226	177	Invalidated	Some(ForceOvertake)	Some(27049)	Some(27226)	180	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	26861	27008	27177	26395	Consolidation	27294	27294	27294	27226	117	49	68	99999	72705	Provisional	None	None	None	72706	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	29284	29334	29986	29481	Consolidation	30224	30224	30224	30062	238	76	162	30452	228	Invalidated	Some(ForceOvertake)	Some(30224)	Some(30452)	231	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	29783	29852	29986	29176	Consolidation	30090	30090	30090	30062	104	76	28	30223	133	Invalidated	Some(IdentityVanished)	Some(30090)	Some(30224)	136	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	30970	31087	31746	31087	Consolidation	31911	31911	31911	31876	165	130	35	31934	23	Invalidated	Some(IdentityVanished)	None	Some(31935)	25	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	30970	31087	31998	31087	Consolidation	32110	32110	32110	32089	112	91	21	39310	7200	Invalidated	Some(ForceOvertake)	Some(32110)	Some(39310)	7203	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	31746	31796	32366	31805	Consolidation	32501	32501	32501	32475	135	109	26	99999	67498	Provisional	None	None	None	67499	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	31746	31796	32653	31805	Consolidation	32737	32737	32737	32702	84	49	35	32892	155	Invalidated	Some(IdentityVanished)	None	Some(32893)	157	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	31998	32089	32653	32117	Consolidation	32893	32893	32893	32702	240	49	191	34294	1401	Invalidated	Some(ForceOvertake)	Some(32893)	Some(34294)	1404	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	32653	32702	33465	32820	Consolidation	33619	33619	33619	33586	154	121	33	34074	455	Invalidated	Some(ForceOvertake)	Some(33619)	Some(34074)	458	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	33111	33270	33670	33274	Consolidation	33862	33862	33862	33799	192	129	63	34073	211	Invalidated	Some(ForceOvertake)	Some(33862)	Some(34073)	214	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	33670	33799	33950	33274	Consolidation	34253	34253	34253	34061	303	111	192	99999	65746	Provisional	None	None	None	65747	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	35909	35993	36329	35687	Consolidation	36612	36612	36612	36550	283	221	62	36626	14	Invalidated	Some(IdentityVanished)	None	Some(36627)	16	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	36855	36914	37448	37210	Consolidation	37906	37906	37906	37885	458	437	21	99999	62093	Provisional	None	None	None	62094	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	37448	37609	38525	37803	Consolidation	38626	38626	38626	38564	101	39	62	38878	252	Invalidated	Some(ForceOvertake)	Some(38626)	Some(38878)	255	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	38640	38704	38983	38710	Consolidation	39348	39348	39348	39112	365	129	236	99999	60651	Provisional	None	None	None	60652	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	38640	38704	39277	38710	Consolidation	39348	39348	39348	39312	71	35	36	99999	60651	Provisional	None	None	None	60652	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	39277	39312	39984	39312	Consolidation	40117	40117	40117	40061	133	77	56	40443	326	Invalidated	Some(ForceOvertake)	Some(40117)	Some(40443)	329	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	39589	39655	40410	39984	Consolidation	40587	40587	40587	40517	177	107	70	99999	59412	Provisional	None	None	None	59413	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	41031	41100	41647	41169	Consolidation	41821	41821	41821	41697	174	50	124	42100	279	Invalidated	Some(ForceOvertake)	Some(41821)	Some(42100)	282	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	42190	42217	42998	42339	Consolidation	43244	43244	43244	43175	246	177	69	99999	56755	Provisional	None	None	None	56756	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	43855	44054	44611	44161	Consolidation	44765	44765	44765	44699	154	88	66	44774	9	Invalidated	Some(ForceOvertake)	Some(44765)	Some(44774)	12	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	46575	46813	47250	46896	Consolidation	47755	47755	47755	47691	505	441	64	99999	52244	Provisional	None	None	None	52245	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	47250	47691	47905	46896	Consolidation	48144	48144	48144	48054	239	149	90	49720	1576	Invalidated	Some(ForceOvertake)	Some(48144)	Some(49720)	1579	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	48739	48920	49448	48941	Consolidation	50024	50024	50024	49991	576	543	33	99999	49975	Provisional	None	None	None	49976	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	49448	49608	50559	49608	Consolidation	50781	50781	50781	50755	222	196	26	99999	49218	Provisional	None	None	None	49219	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	51029	51101	51723	51146	Consolidation	51850	51850	51850	51815	127	92	35	51894	44	Invalidated	Some(ForceOvertake)	Some(51850)	Some(51894)	47	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	51451	51560	52281	51723	Consolidation	52553	52553	52553	52430	272	149	123	56420	3867	Invalidated	Some(ForceOvertake)	Some(52553)	Some(56420)	3870	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	53637	53760	54297	53866	Consolidation	54415	54415	54415	54387	118	90	28	99999	45584	Provisional	None	None	None	45585	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	54297	54387	54696	54387	Consolidation	54773	54773	54773	54719	77	23	54	60475	5702	Invalidated	Some(ForceOvertake)	Some(54773)	Some(60475)	5705	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	54890	54957	55203	54963	Consolidation	55354	55354	55354	55270	151	67	84	56405	1051	Invalidated	Some(ForceOvertake)	Some(55354)	Some(56405)	1054	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	56471	56536	57205	56635	Consolidation	57536	57536	57536	57267	331	62	269	60442	2906	Invalidated	Some(ForceOvertake)	Some(57536)	Some(60442)	2909	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	57078	57133	57983	57133	Consolidation	58372	58372	58372	58234	389	251	138	99999	41627	Provisional	None	None	None	41628	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	57414	57531	58365	57677	Consolidation	58732	58732	58732	58709	367	344	23	99999	41267	Provisional	None	None	None	41268	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	59811	59873	60489	60105	Consolidation	60796	60796	60796	60715	307	226	81	99999	39203	Provisional	None	None	None	39204	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	63651	63789	64374	63877	Consolidation	64500	64500	64500	64459	126	85	41	64880	380	Invalidated	Some(ForceOvertake)	Some(64500)	Some(64880)	383	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	63984	64224	64847	64224	Consolidation	65002	65002	65002	64914	155	67	88	99999	34997	Provisional	None	None	None	34998	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	64374	64459	65017	64579	Consolidation	65145	65145	65145	65046	128	29	99	99999	34854	Provisional	None	None	None	34855	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	64847	64914	65017	64224	Consolidation	65102	65102	65102	65046	85	29	56	65144	42	Invalidated	Some(IdentityVanished)	Some(65102)	Some(65145)	45	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	64847	64914	65096	64944	Consolidation	65272	65272	65272	65211	176	115	61	67354	2082	Invalidated	Some(ForceOvertake)	Some(65272)	Some(67354)	2085	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	65844	66066	66433	66077	Consolidation	66981	66981	66981	66646	548	213	335	99999	33018	Provisional	None	None	None	33019	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	66205	66348	66433	65627	Consolidation	66720	66720	66720	66646	287	213	74	66934	214	Invalidated	Some(ForceOvertake)	Some(66720)	Some(66934)	217	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	66205	66348	66983	66433	Consolidation	67134	67134	67134	67110	151	127	24	67356	222	Invalidated	Some(ForceOvertake)	Some(67134)	Some(67356)	225	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	66433	66646	66897	66077	Consolidation	66981	66981	66981	66922	84	25	59	67359	378	Invalidated	Some(ForceOvertake)	Some(66981)	Some(67359)	381	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	66897	66922	67179	66937	Consolidation	67432	67432	67432	67371	253	192	61	99999	32567	Provisional	None	None	None	32568	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	68312	68503	69200	68030	Consolidation	69302	69302	69302	69269	102	69	33	99999	30697	Provisional	None	None	None	30698	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	68831	68906	69347	68917	Consolidation	69545	69545	69545	69503	198	156	42	70110	565	Invalidated	Some(ForceOvertake)	Some(69545)	Some(70110)	568	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	69347	69503	69669	68917	Consolidation	69855	69855	69855	69793	186	124	62	70105	250	Invalidated	Some(ForceOvertake)	Some(69855)	Some(70105)	253	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	69669	69793	70351	69803	Consolidation	70480	70480	70480	70393	129	42	87	99999	29519	Provisional	None	None	None	29520	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	71911	72061	72828	72264	Consolidation	73048	73048	73048	72926	220	98	122	99999	26951	Provisional	None	None	None	26952	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	72264	72328	72540	71812	Consolidation	72832	72832	72832	72778	292	238	54	72886	54	Invalidated	Some(ForceOvertake)	Some(72832)	Some(72886)	57	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	73001	73107	73336	72778	Consolidation	73511	73511	73511	73462	175	126	49	99999	26488	Provisional	None	None	None	26489	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	73001	73107	73719	73336	Consolidation	73990	73990	73990	73947	271	228	43	99999	26009	Provisional	None	None	None	26010	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	77983	78026	78696	78138	Consolidation	78943	78943	78943	78751	247	55	192	80493	1550	Invalidated	Some(ForceOvertake)	Some(78943)	Some(80493)	1553	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	81914	81970	82679	82180	Consolidation	82737	82737	82737	82697	58	18	40	84520	1783	Invalidated	Some(ForceOvertake)	Some(82737)	Some(84520)	1786	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	83682	84011	84752	84283	Consolidation	84841	84841	84841	84815	89	63	26	99999	15158	Provisional	None	None	None	15159	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	84446	84552	85365	84752	Consolidation	85565	85565	85565	85533	200	168	32	85805	240	Invalidated	Some(IdentityVanished)	Some(85565)	Some(85806)	243	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	86365	86470	86812	85727	Consolidation	86879	86879	86879	86828	67	16	51	87022	143	Invalidated	Some(IdentityVanished)	Some(86879)	Some(87023)	146	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	86365	86470	86977	86483	Consolidation	87433	87433	87433	87383	456	406	50	99999	12566	Provisional	None	None	None	12567	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	86977	87258	87502	87299	Consolidation	87561	87561	87561	87526	59	24	35	87759	198	Invalidated	Some(ForceOvertake)	Some(87561)	Some(87759)	201	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	87318	87383	87721	87502	Consolidation	88115	88115	88115	87907	394	186	208	99999	11884	Provisional	None	None	None	11885	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	87502	87526	87721	87299	Consolidation	87954	87954	87954	87907	233	186	47	88114	160	Invalidated	Some(IdentityVanished)	None	Some(88115)	162	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	87585	87663	88069	87663	Consolidation	88205	88205	88205	88150	136	81	55	88629	424	Invalidated	Some(ForceOvertake)	Some(88205)	Some(88629)	427	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	88245	88272	88394	88272	Consolidation	88480	88480	88480	88438	86	44	42	99999	11519	Provisional	None	None	None	11520	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	88303	88355	88724	88394	Consolidation	88860	88860	88860	88790	136	66	70	99999	11139	Provisional	None	None	None	11140	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	88394	88438	88522	88272	Consolidation	88738	88738	88738	88608	216	86	130	99999	11261	Provisional	None	None	None	11262	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	91581	91665	92006	91680	Consolidation	92219	92219	92219	92179	213	173	40	92339	120	Invalidated	Some(ForceOvertake)	Some(92219)	Some(92339)	123	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	93266	93474	93934	92948	Consolidation	94113	94113	94113	94093	179	159	20	99999	5886	Provisional	None	None	None	5887	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	93934	93956	94447	93994	Consolidation	94693	94693	94693	94510	246	63	183	99999	5306	Provisional	None	None	None	5307	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	94074	94093	94590	94164	Consolidation	94788	94788	94788	94635	198	45	153	99999	5211	Provisional	None	None	None	5212	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	94447	94510	95144	94590	Consolidation	95303	95303	95303	95283	159	139	20	95519	216	Invalidated	Some(ForceOvertake)	Some(95303)	Some(95519)	219	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	95794	95826	96153	95826	Consolidation	96393	96393	96393	96280	240	127	113	99999	3606	Provisional	None	None	None	3607	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	96500	96581	97252	96703	Consolidation	97446	97446	97446	97379	194	127	67	99999	2553	Provisional	None	None	None	2554	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	97919	97940	98095	97660	Consolidation	98365	98365	98365	98278	270	183	87	99999	1634	Provisional	None	None	None	1635	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
PanConsolidation/L1(lower=parser-Segment)	1	Long	98095	98278	98664	97660	Consolidation	98929	98929	98929	98878	265	214	51	99999	1070	Provisional	None	None	None	1071	level_view::provide_nest_candidate_events_ext/consolidation-pan -> feed_replay_bar(kind==Consolidation)
